First process instance # in stats,1
Last process instance # in stats,6852

Resource utilization
Resource,Utilization %
Default Resource,QBP_DEFAULT_RESOURCE,1

Individual task statistics
Name,Avg duration,Min duration,Max duration,Total duration,Avg waiting time,Min waiting time,Max waiting time,Total waiting time,Avg idle time,Min idle time,Max idle time,Total idle time,Avg cost,Min cost,Max cost,Total cost,Avg cost over thresh,Min cost over thresh,Max cost over thresh,Total cost over thresh,Avg duration over thresh,Min duration over thresh,Max duration over thresh,Total duration over thresh,Count,
# ITERATION 
NOT FINE?,sid-e383f3a2-1ab6-4a0e-9b02-73baee020cf0.sid-F7644FD6-2FCE-4C9A-B91A-8060DB1426DA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,622
CHECK DATA BALANCING,sid-e383f3a2-1ab6-4a0e-9b02-73baee020cf0.sid-B48DF955-D774-4256-AEB6-099744469155,5.741953815261043,5.454,6.027,2859.4929999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,498
CHECK INPUT COVERAGE,sid-e383f3a2-1ab6-4a0e-9b02-73baee020cf0.sid-84855BE7-4A74-4AA7-A950-22E81A38081C,31.046408759124084,29.506,32.592,12760.073999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,411
CHECK LEARNING PLOT,sid-e383f3a2-1ab6-4a0e-9b02-73baee020cf0.sid-B70575F0-6E48-4039-AEE5-9A99A66DF722,14.987435691318343,14.252,15.744,9322.185000000009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,622
CHECK TEST RESULTS,sid-e383f3a2-1ab6-4a0e-9b02-73baee020cf0.sid-3F3477CA-2154-443D-990D-BA61AA0EEDD2,12.47902547770701,11.877,13.118,1959.2070000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,157
CHECK VALIDATION REPORT,sid-e383f3a2-1ab6-4a0e-9b02-73baee020cf0.sid-CDCECFDC-6D1A-4D0D-AC63-4678A965EE2D,32.95868072289157,31.296,34.539,5471.141000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,166
CLASSIFIER
GOOD?,sid-e383f3a2-1ab6-4a0e-9b02-73baee020cf0.sid-228AD3BA-C444-4822-AC9D-A53CD84282E4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33
CONFIGURE CLIENT-SIDE SYSTEMS,sid-e383f3a2-1ab6-4a0e-9b02-73baee020cf0.sid-2A6D8261-8FF9-4B37-A6BF-D919D2DFB69B,7.515799204771371,7.125,7.875,3780.4469999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,503
